无手套 (未使用)
运动手套: 挑战
运动手套: 草
运动手套: 水
运动手套: 火
运动手套: 幽灵
运动手套: 格斗
运动手套: 妖精
运动手套: 岩石
运动手套: 冰
运动手套: 恶
运动手套: 龙
运动手套: 虫
运动手套: 钢
运动手套: 超能力
运动手套: 电
运动手套: 地面
运动手套: 飞行
运动手套: 一般
运动手套: 毒
运动手套: 冠军
运动手套: 皮卡丘
运动手套: 伊布
运动手套: 级别对战
运动手套: 对战塔
运动手套: 基本
简约手套: 白
简约手套: 黑
简约手套: 红
简约手套: 黄
简约手套: 绿
简约手套: 蓝
简约手套: 橙色
简约手套: 海军蓝
简约手套: 紫
简约手套: 粉红
简约手套: 灰
简约手套: 米色
格子手套: 绿
格子手套: 红
格子手套: 黑白
格子手套: 粉红
格子手套: 海军蓝
格子手套: 黄
印花手套: 永眠之丘
印花手套: 爱捣蛋
印花手套: 极致口感
皮革手套: 白
皮革手套: 黑
皮革手套: 红
皮革手套: 驼色
皮革手套: 蓝
皮革手套: 喷漆粉红
皮革手套: 瓦斯红
皮革手套: 新鲜蓝
修行手套: 独家设计
庞克族手套: 黑
探险手套: 独家设计
金黄手套: 独家设计
绅士手套: 白
绅士手套: 黑
绅士手套: 红
绅士手套: 黄
绅士手套: 绿
绅士手套: 蓝
绅士手套: 橙色
绅士手套: 海军蓝
绅士手套: 紫
绅士手套: 粉红
绅士手套: 灰
绅士手套: 米色
比赛手套: 伽勒尔明星赛
